iter	MultiClass
0	1.780376513
1	1.771763701
2	1.763642726
3	1.758043393
4	1.752541036
5	1.745371771
6	1.739363306
7	1.73464814
8	1.730969207
9	1.725434772
10	1.723583673
11	1.719318859
12	1.717445688
13	1.715875787
14	1.71338231
15	1.711105549
16	1.708200008
17	1.707188424
18	1.705101422
19	1.702125666
20	1.700217632
21	1.695829203
22	1.692863267
23	1.69025345
24	1.687675093
25	1.685645191
26	1.683905122
27	1.681679033
28	1.678999179
29	1.676733945
30	1.673645086
31	1.671479139
32	1.670255676
33	1.668239942
34	1.666321006
35	1.663111515
36	1.659721978
37	1.657425407
38	1.655479562
39	1.652320562
40	1.649529838
41	1.647378354
42	1.644499727
43	1.642532212
44	1.641201719
45	1.639831393
46	1.636311378
47	1.635106197
48	1.631786969
49	1.63133548
50	1.628927191
51	1.626876473
52	1.624865793
53	1.623223313
54	1.620550891
55	1.618922498
56	1.617261132
57	1.614398851
58	1.612531315
59	1.610461185
60	1.608763854
61	1.606431428
62	1.604155224
63	1.601877996
64	1.599202325
65	1.597472819
66	1.596374097
67	1.592789887
68	1.589409964
69	1.587573006
70	1.584894754
71	1.582950198
72	1.580850037
73	1.578842187
74	1.577511068
75	1.574371259
76	1.570620058
77	1.568546682
78	1.566689526
79	1.564945459
80	1.56347196
81	1.561277588
82	1.558031415
83	1.556189213
84	1.552608171
85	1.548611233
86	1.54501221
87	1.541817219
88	1.539076146
89	1.536900106
90	1.533602686
91	1.529631396
92	1.526471735
93	1.523680528
94	1.520908322
95	1.517382985
96	1.513780662
97	1.510352229
98	1.50618441
99	1.50295456
100	1.499372176
101	1.496119652
102	1.49231726
103	1.489547399
104	1.486267327
105	1.483043316
106	1.479683403
107	1.476078976
108	1.472941619
109	1.470592347
110	1.468068267
111	1.465487023
112	1.462546358
113	1.46033821
114	1.457238547
115	1.454523562
116	1.452074969
117	1.449535623
118	1.447162865
119	1.444116173
120	1.440111659
121	1.43742251
122	1.43442402
123	1.431969281
124	1.429247093
125	1.426362176
126	1.424315329
127	1.421469201
128	1.418816492
129	1.415843616
130	1.413189479
131	1.410470701
132	1.407846377
133	1.405083303
134	1.402441832
135	1.399703154
136	1.396422177
137	1.393689646
138	1.391294465
139	1.388587757
140	1.386068141	141	1.384029142	142	1.381887143143	1.37957144	1144	1.37700145	1.586774645
146	1.585276541
147	1.583921416
148	1.583021709
149	1.581828692
150	1.580476253
151	1.578515787
152	1.577160743
153	1.575048052
154	1.573912991
155	1.571974047
156	1.570481967
157	1.569070764
158	1.567181785
159	1.566002114
160	1.564038245
161	1.562647793
162	1.560780903
163	1.558566167
164	1.55734897
165	1.555879164
166	1.554137541
167	1.553425904
168	1.552210866
169	1.550557961
170	1.548279093
171	1.547021187
172	1.545387055
173	1.543732909
174	1.541343607
175	1.539997583
176	1.537734202
177	1.536554197
178	1.534799437
179	1.533366301
180	1.532209696
181	1.530724192
182	1.528393123
183	1.526254265
184	1.524802685
185	1.523041274
186	1.521400485
187	1.51990953
188	1.518397485
189	1.516238319
190	1.514982743
191	1.513000526
192	1.511598531
193	1.509840469
194	1.508354156
195	1.50643793
196	1.504648165
197	1.502627063
198	1.500895852
199	1.498726021
9
16
4
