iter	Passed	Remaining
0	1361	270855
1	2179	215743
2	3222	211602
3	4166	204180
4	5261	205216
5	6230	201447
6	6991	192754
7	7769	186464
8	8500	180393
9	9675	183842
10	10828	186044
11	11770	184410
12	12580	180962
13	13304	176756
14	15180	187228
15	16188	186167
16	17000	183003
17	17843	180418
18	18635	177528
19	19350	174150
20	20189	172095
21	21002	169929
22	21839	168072
23	22536	165268
24	23285	162998
25	24025	160786
26	25094	160791
27	26090	160272
28	27171	160217
29	28021	158788
30	28888	157486
31	29728	156072
32	30615	154933
33	31666	154606
34	32745	154370
35	33516	152684
36	34294	151080
37	35142	149818
38	35891	148167
39	36968	147874
40	37793	146563
41	38698	145581
42	39369	143745
43	40287	142836
44	41489	142908
45	42544	142429
46	43480	141542
47	44321	140350
48	45164	139179
49	45880	137642
50	46723	136506
51	47579	135417
52	48729	135155
53	49535	133928
54	50559	133293
55	51236	131750
56	52047	130576
57	52970	129685
58	53676	128278
59	54381	126889
60	55212	125812
61	55923	124475
62	56724	123354
63	57432	122044
64	58264	121010
65	59181	120156
66	60111	119326
67	60932	118280
68	61805	117341
69	62682	116410
70	63687	115713
71	64485	114641
72	65390	113761
73	66159	112649
74	67160	111933
75	68167	111220
76	68944	110131
77	69767	109122
78	70579	108103
79	71182	106773
80	71931	105676
81	72663	104564
82	73427	103506
83	74189	102452
84	75051	101540
85	75878	100582
86	76896	99876
87	77621	98791
88	78403	97784
89	79084	96658
90	79812	95599
91	80606	94625
92	81303	93543
93	82122	92606
94	82945	91676
95	83678	90651
96	84495	89721
97	85337	88820
98	86024	87762
99	87070	87070
100	87858	86118
101	88688	85210
102	89525	84310
103	90304	83358
104	91181	82497
105	92118	81690
106	93061	80884
107	93883	79974
108	94654	79023
109	95374	78033
110	96108	77060
111	96861	76105
112	97586	75132
113	98409	74238
114	99203	73324
115	100007	72419
116	100720	71451
117	101440	70492
118	102176	69548
119	102854	68569
120	103556	67611
121	104342	66710
122	105112	65802
123	105987	64960
124	106734	64040
125	107447	63103
126	108186	62185
127	108899	61255
128	109662	60357
129	110418	59456
130	111186	58563
131	111980	57687
132	112779	56813
133	113657	55980
134	114637	55196
135	115795	54491
136	116673	53652
137	117588	52829
138	118735	52106
139	119532	51228
140	120357	50362
141	121186	49498
142	121977	48620
143	122762	47740
144	123489	46840
145	124296	45972
146	125099	45103
147	125830	44210
148	126638	43346
149	127474	42491
150	128149	146707151	129150	147816152	130151	148866153	130152	149890154	131153	150727155	132154	151500	43983
155	152345	42969
156	153123	41938
157	154012	40940
158	154841	39927
159	155820	38955
160	157093	38053
161	158056	37074
162	159432	36190
163	160407	35211
164	161578	34274
165	162775	33339
166	163672	32342
167	164460	31325
168	165254	30312
169	165923	29280
170	166916	28307
171	167733	27305
172	168293	26265
173	168690	25206
174	169121	24160
175	169471	23109
176	169879	22074
177	170245	21041
178	170578	20011
179	170933	18992
180	171293	17981
181	171638	16975
182	171936	15972
183	172234	14976
184	172516	13987
185	172840	13009
186	173105	12034
187	173351	11065
188	173591	10103
189	173808	9147
190	173976	8197
191	174150	7256
192	174324	6322
193	174497	5396
194	174693	4479
195	174907	3569
196	175101	2666
197	175284	1770
198	175481	881
199	175692	0

